Name,Rating,Reviews,Company_Type,Salaries,Interviews,Job
TCS,3.8,77.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +348 more,8.7L,1k,11.7k
Accenture,4.0,48.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +182 more,5.9L,30.2k,7.2k
Cognizant,3.9,43.7k,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +177 more,5.7L,561,5.9k
Wipro,3.8,41.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +278 more,4.3L,1.1k,5.1k
Capgemini,3.8,35.8k,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,4.3L,546,4.1k
HDFC Bank,3.9,34.7k,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1563 more,1.3L,189,3.3k
ICICI Bank,4.0,34.4k,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1305 more,1.5L,53,3.8k
Infosys,3.8,33.6k,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +183 more,4.7L,1.7k,5.2k
HCLTech,3.6,30.3k,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +184 more,3.1L,221,4.1k
Tech Mahindra,3.7,28.6k,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +274 more,2.6L,819,3.6k
Genpact,3.9,27.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +120 more,2L,413,3.7k
Axis Bank,3.8,22.6k,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1328 more,98.4k,262,2.2k
Teleperformance,3.8,23.7k,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +194 more,86.7k,133,2.1k
Concentrix Corporation,3.9,22k,BPO | 50k-1 Lakh Employees | Public | 41 years old | Fremont +119 more,1.1L,58,3.3k
Jio,4.0,20.5k,Telecom | 50k-1 Lakh Employees | Public | 6 years old | Navi Mumbai +1180 more,64.9k,111,2.6k
Amazon,4.1,21.7k,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +456 more,1.3L,139,4.3k
IBM,4.1,20k,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +149 more,2.2L,3.8k,2.8k
Reliance Retail,4.0,19.7k,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1018 more,63.2k,159,2k
HDB Financial Services,4.0,18.2k,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +967 more,49.3k,105,1.5k
Larsen & Toubro Limited,4.1,16.4k,Engineering & Construction | 10k-50k Employees | Public | 86 years old | Mumbai +627 more,68.7k,140,2.9k
